"season","training.date","athlete","tl"
"Fall 2017","2017-10-14","Marshelle Edwards",1290
"Fall 2017","2017-10-14","Cinoi Slovonsky",1175
"Fall 2017","2017-10-15","Shajee'a al-Amiri",0
"Fall 2017","2017-10-15","Brittany Valdez",0
"Fall 2017","2017-10-15","Urja Chaudhry",0
"Fall 2017","2017-10-15","Nicole Tipton",0
"Fall 2017","2017-10-15","Marshelle Edwards",0
"Fall 2017","2017-10-15","Cinoi Slovonsky",0
"Fall 2017","2017-10-15","Rhiannon Garcia",0
"Fall 2017","2017-10-15","Mariana Lewis",0
"Fall 2017","2017-10-15","Kayla Mix",0
"Fall 2017","2017-10-16","Kayla Mix",310
"Fall 2017","2017-10-16","Urja Chaudhry",186
"Fall 2017","2017-10-16","Brittany Valdez",248
"Fall 2017","2017-10-16","Rhiannon Garcia",62
"Fall 2017","2017-10-16","Shajee'a al-Amiri",310
"Fall 2017","2017-10-16","Nicole Tipton",310
"Fall 2017","2017-10-16","Marshelle Edwards",248
"Fall 2017","2017-10-16","Cinoi Slovonsky",62
"Fall 2017","2017-10-16","Mariana Lewis",310
"Fall 2017","2017-10-17","Brittany Valdez",1064
"Fall 2017","2017-10-17","Urja Chaudhry",665
"Fall 2017","2017-10-17","Mariana Lewis",931
"Fall 2017","2017-10-17","Shajee'a al-Amiri",931
"Fall 2017","2017-10-17","Nicole Tipton",133
"Fall 2017","2017-10-17","Marshelle Edwards",665
"Fall 2017","2017-10-17","Cinoi Slovonsky",532
"Fall 2017","2017-10-17","Rhiannon Garcia",665
"Fall 2017","2017-10-17","Kayla Mix",532
"Fall 2017","2017-10-18","Kayla Mix",472
"Fall 2017","2017-10-18","Brittany Valdez",118
"Fall 2017","2017-10-18","Shajee'a al-Amiri",118
"Fall 2017","2017-10-18","Urja Chaudhry",590
"Fall 2017","2017-10-18","Mariana Lewis",472
"Fall 2017","2017-10-18","Nicole Tipton",118
"Fall 2017","2017-10-18","Marshelle Edwards",590
"Fall 2017","2017-10-18","Rhiannon Garcia",590
"Fall 2017","2017-10-18","Cinoi Slovonsky",590
"Fall 2017","2017-10-19","Mariana Lewis",580
"Fall 2017","2017-10-19","Kayla Mix",464
"Fall 2017","2017-10-19","Shajee'a al-Amiri",696
"Fall 2017","2017-10-19","Brittany Valdez",580
"Fall 2017","2017-10-19","Urja Chaudhry",464
"Fall 2017","2017-10-19","Rhiannon Garcia",464
"Fall 2017","2017-10-19","Nicole Tipton",116
"Fall 2017","2017-10-19","Marshelle Edwards",812
"Fall 2017","2017-10-19","Cinoi Slovonsky",580
"Fall 2017","2017-10-20","Shajee'a al-Amiri",236
"Fall 2017","2017-10-20","Brittany Valdez",177
"Fall 2017","2017-10-20","Urja Chaudhry",177
"Fall 2017","2017-10-20","Mariana Lewis",177
"Fall 2017","2017-10-20","Nicole Tipton",59
"Fall 2017","2017-10-20","Marshelle Edwards",236
"Fall 2017","2017-10-20","Cinoi Slovonsky",177
"Fall 2017","2017-10-20","Rhiannon Garcia",236
"Fall 2017","2017-10-20","Kayla Mix",177
"Fall 2017","2017-10-21","Shajee'a al-Amiri",2065
"Fall 2017","2017-10-21","Brittany Valdez",590
"Fall 2017","2017-10-21","Urja Chaudhry",295
"Fall 2017","2017-10-21","Rhiannon Garcia",1475
"Fall 2017","2017-10-21","Nicole Tipton",295
"Fall 2017","2017-10-21","Marshelle Edwards",885
"Fall 2017","2017-10-21","Cinoi Slovonsky",2065
"Fall 2017","2017-10-21","Kayla Mix",1475
"Fall 2017","2017-10-21","Mariana Lewis",885
"Fall 2017","2017-10-22","Brittany Valdez",0
"Fall 2017","2017-10-22","Urja Chaudhry",0
"Fall 2017","2017-10-22","Mariana Lewis",0
"Fall 2017","2017-10-22","Nicole Tipton",0
"Fall 2017","2017-10-22","Marshelle Edwards",0
"Fall 2017","2017-10-22","Cinoi Slovonsky",0
"Fall 2017","2017-10-22","Rhiannon Garcia",0
"Fall 2017","2017-10-22","Shajee'a al-Amiri",0
"Fall 2017","2017-10-22","Kayla Mix",0
"Fall 2017","2017-10-23","Kayla Mix",570
"Fall 2017","2017-10-23","Brittany Valdez",456
"Fall 2017","2017-10-23","Shajee'a al-Amiri",456
"Fall 2017","2017-10-23","Urja Chaudhry",456
"Fall 2017","2017-10-23","Nicole Tipton",114
"Fall 2017","2017-10-23","Marshelle Edwards",456
"Fall 2017","2017-10-23","Rhiannon Garcia",456
"Fall 2017","2017-10-23","Cinoi Slovonsky",570
"Fall 2017","2017-10-23","Mariana Lewis",570
"Fall 2017","2017-10-24","Brittany Valdez",663
"Fall 2017","2017-10-24","Urja Chaudhry",221
"Fall 2017","2017-10-24","Mariana Lewis",1105
"Fall 2017","2017-10-24","Shajee'a al-Amiri",1105
"Fall 2017","2017-10-24","Nicole Tipton",1105
"Fall 2017","2017-10-24","Marshelle Edwards",1105
"Fall 2017","2017-10-24","Cinoi Slovonsky",1326
"Fall 2017","2017-10-24","Rhiannon Garcia",1105
"Fall 2017","2017-10-24","Kayla Mix",884
"Fall 2017","2017-10-25","Kayla Mix",640
"Fall 2017","2017-10-25","Brittany Valdez",512
"Fall 2017","2017-10-25","Shajee'a al-Amiri",512
"Fall 2017","2017-10-25","Urja Chaudhry",512
"Fall 2017","2017-10-25","Nicole Tipton",128
"Fall 2017","2017-10-25","Marshelle Edwards",640
"Fall 2017","2017-10-25","Rhiannon Garcia",512
"Fall 2017","2017-10-25","Mariana Lewis",896
"Fall 2017","2017-10-25","Cinoi Slovonsky",512
"Fall 2017","2017-10-26","Kayla Mix",750
"Fall 2017","2017-10-26","Urja Chaudhry",852
"Fall 2017","2017-10-26","Brittany Valdez",792
"Fall 2017","2017-10-26","Rhiannon Garcia",708
"Fall 2017","2017-10-26","Shajee'a al-Amiri",690
"Fall 2017","2017-10-26","Nicole Tipton",402
"Fall 2017","2017-10-26","Marshelle Edwards",954
"Fall 2017","2017-10-26","Cinoi Slovonsky",750
"Fall 2017","2017-10-26","Mariana Lewis",972
"Fall 2017","2017-10-27","Brittany Valdez",360
"Fall 2017","2017-10-27","Urja Chaudhry",600
"Fall 2017","2017-10-27","Mariana Lewis",600
"Fall 2017","2017-10-27","Shajee'a al-Amiri",360
"Fall 2017","2017-10-27","Nicole Tipton",120
"Fall 2017","2017-10-27","Marshelle Edwards",840
"Fall 2017","2017-10-27","Cinoi Slovonsky",480
"Fall 2017","2017-10-27","Rhiannon Garcia",480
"Fall 2017","2017-10-27","Kayla Mix",480
"Fall 2017","2017-10-28","Kayla Mix",1416
"Fall 2017","2017-10-28","Shajee'a al-Amiri",1138
"Fall 2017","2017-10-28","Brittany Valdez",1072
"Fall 2017","2017-10-28","Urja Chaudhry",1416
"Fall 2017","2017-10-28","Mariana Lewis",827
"Fall 2017","2017-10-28","Nicole Tipton",311
"Fall 2017","2017-10-28","Marshelle Edwards",1588
"Fall 2017","2017-10-28","Rhiannon Garcia",1555
"Fall 2017","2017-10-28","Cinoi Slovonsky",1244
"Fall 2017","2017-10-29","Mariana Lewis",0
"Fall 2017","2017-10-29","Shajee'a al-Amiri",0
"Fall 2017","2017-10-29","Brittany Valdez",0
"Fall 2017","2017-10-29","Kayla Mix",0
"Fall 2017","2017-10-29","Urja Chaudhry",0
"Fall 2017","2017-10-29","Nicole Tipton",0
"Fall 2017","2017-10-29","Marshelle Edwards",0
"Fall 2017","2017-10-29","Cinoi Slovonsky",0
"Fall 2017","2017-10-29","Rhiannon Garcia",0
"Fall 2017","2017-10-30","Shajee'a al-Amiri",138
"Fall 2017","2017-10-30","Brittany Valdez",276
"Fall 2017","2017-10-30","Urja Chaudhry",345
"Fall 2017","2017-10-30","Cinoi Slovonsky",207
"Fall 2017","2017-10-30","Kayla Mix",276
"Fall 2017","2017-10-30","Rhiannon Garcia",276
"Fall 2017","2017-10-30","Mariana Lewis",276
"Fall 2017","2017-10-30","Marshelle Edwards",276
"Fall 2017","2017-10-30","Nicole Tipton",69
"Fall 2017","2017-10-31","Cinoi Slovonsky",958
"Fall 2017","2017-10-31","Kayla Mix",737
"Fall 2017","2017-10-31","Shajee'a al-Amiri",759
"Fall 2017","2017-10-31","Urja Chaudhry",818
"Fall 2017","2017-10-31","Brittany Valdez",597
"Fall 2017","2017-10-31","Marshelle Edwards",656
"Fall 2017","2017-10-31","Rhiannon Garcia",877
"Fall 2017","2017-10-31","Nicole Tipton",619
"Fall 2017","2017-10-31","Mariana Lewis",398
