"season","training.date","athlete","tl"
"Fall 2017","2017-08-30","Shajee'a al-Amiri",1190
"Fall 2017","2017-08-30","Urja Chaudhry",1020
"Fall 2017","2017-08-30","Nicole Tipton",1020
"Fall 2017","2017-08-30","Marshelle Edwards",1020
"Fall 2017","2017-08-30","Rhiannon Garcia",680
"Fall 2017","2017-08-30","Cinoi Slovonsky",1020
"Fall 2017","2017-08-30","Mariana Lewis",1190
"Fall 2017","2017-08-31","Brittany Valdez",0
"Fall 2017","2017-08-31","Urja Chaudhry",0
"Fall 2017","2017-08-31","Mariana Lewis",0
"Fall 2017","2017-08-31","Shajee'a al-Amiri",0
"Fall 2017","2017-08-31","Nicole Tipton",0
"Fall 2017","2017-08-31","Marshelle Edwards",0
"Fall 2017","2017-08-31","Cinoi Slovonsky",0
"Fall 2017","2017-08-31","Rhiannon Garcia",0
"Fall 2017","2017-08-31","Kayla Mix",0
"Fall 2017","2017-09-01","Kayla Mix",0
"Fall 2017","2017-09-01","Brittany Valdez",0
"Fall 2017","2017-09-01","Shajee'a al-Amiri",0
"Fall 2017","2017-09-01","Urja Chaudhry",0
"Fall 2017","2017-09-01","Nicole Tipton",0
"Fall 2017","2017-09-01","Marshelle Edwards",0
"Fall 2017","2017-09-01","Rhiannon Garcia",0
"Fall 2017","2017-09-01","Mariana Lewis",0
"Fall 2017","2017-09-01","Cinoi Slovonsky",0
"Fall 2017","2017-09-02","Kayla Mix",0
"Fall 2017","2017-09-02","Urja Chaudhry",0
"Fall 2017","2017-09-02","Brittany Valdez",0
"Fall 2017","2017-09-02","Marshelle Edwards",0
"Fall 2017","2017-09-02","Shajee'a al-Amiri",0
"Fall 2017","2017-09-02","Rhiannon Garcia",0
"Fall 2017","2017-09-02","Nicole Tipton",0
"Fall 2017","2017-09-02","Cinoi Slovonsky",0
"Fall 2017","2017-09-02","Mariana Lewis",0
"Fall 2017","2017-09-03","Shajee'a al-Amiri",0
"Fall 2017","2017-09-03","Brittany Valdez",0
"Fall 2017","2017-09-03","Urja Chaudhry",0
"Fall 2017","2017-09-03","Mariana Lewis",0
"Fall 2017","2017-09-03","Nicole Tipton",0
"Fall 2017","2017-09-03","Marshelle Edwards",0
"Fall 2017","2017-09-03","Cinoi Slovonsky",0
"Fall 2017","2017-09-03","Rhiannon Garcia",0
"Fall 2017","2017-09-03","Kayla Mix",0
"Fall 2017","2017-09-04","Shajee'a al-Amiri",1125
"Fall 2017","2017-09-04","Brittany Valdez",1250
"Fall 2017","2017-09-04","Urja Chaudhry",1000
"Fall 2017","2017-09-04","Rhiannon Garcia",875
"Fall 2017","2017-09-04","Nicole Tipton",875
"Fall 2017","2017-09-04","Marshelle Edwards",1250
"Fall 2017","2017-09-04","Cinoi Slovonsky",875
"Fall 2017","2017-09-04","Kayla Mix",875
"Fall 2017","2017-09-04","Mariana Lewis",1250
"Fall 2017","2017-09-05","Brittany Valdez",648
"Fall 2017","2017-09-05","Urja Chaudhry",648
"Fall 2017","2017-09-05","Mariana Lewis",648
"Fall 2017","2017-09-05","Nicole Tipton",704
"Fall 2017","2017-09-05","Marshelle Edwards",648
"Fall 2017","2017-09-05","Cinoi Slovonsky",648
"Fall 2017","2017-09-05","Rhiannon Garcia",648
"Fall 2017","2017-09-05","Shajee'a al-Amiri",760
"Fall 2017","2017-09-05","Kayla Mix",0
"Fall 2017","2017-09-06","Kayla Mix",0
"Fall 2017","2017-09-06","Shajee'a al-Amiri",645
"Fall 2017","2017-09-06","Brittany Valdez",645
"Fall 2017","2017-09-06","Urja Chaudhry",645
"Fall 2017","2017-09-06","Nicole Tipton",645
"Fall 2017","2017-09-06","Marshelle Edwards",516
"Fall 2017","2017-09-06","Cinoi Slovonsky",645
"Fall 2017","2017-09-06","Rhiannon Garcia",516
"Fall 2017","2017-09-06","Mariana Lewis",645
"Fall 2017","2017-09-07","Brittany Valdez",308
"Fall 2017","2017-09-07","Shajee'a al-Amiri",308
"Fall 2017","2017-09-07","Urja Chaudhry",154
"Fall 2017","2017-09-07","Kayla Mix",77
"Fall 2017","2017-09-07","Rhiannon Garcia",154
"Fall 2017","2017-09-07","Nicole Tipton",154
"Fall 2017","2017-09-07","Marshelle Edwards",231
"Fall 2017","2017-09-07","Cinoi Slovonsky",231
"Fall 2017","2017-09-07","Mariana Lewis",231
"Fall 2017","2017-09-08","Urja Chaudhry",0
"Fall 2017","2017-09-08","Rhiannon Garcia",0
"Fall 2017","2017-09-08","Shajee'a al-Amiri",0
"Fall 2017","2017-09-08","Brittany Valdez",0
"Fall 2017","2017-09-08","Mariana Lewis",0
"Fall 2017","2017-09-08","Nicole Tipton",0
"Fall 2017","2017-09-08","Marshelle Edwards",0
"Fall 2017","2017-09-08","Cinoi Slovonsky",0
"Fall 2017","2017-09-08","Kayla Mix",0
"Fall 2017","2017-09-09","Kayla Mix",363
"Fall 2017","2017-09-09","Brittany Valdez",484
"Fall 2017","2017-09-09","Shajee'a al-Amiri",726
"Fall 2017","2017-09-09","Urja Chaudhry",605
"Fall 2017","2017-09-09","Nicole Tipton",484
"Fall 2017","2017-09-09","Marshelle Edwards",605
"Fall 2017","2017-09-09","Rhiannon Garcia",484
"Fall 2017","2017-09-09","Cinoi Slovonsky",605
"Fall 2017","2017-09-09","Mariana Lewis",484
"Fall 2017","2017-09-10","Brittany Valdez",579
